date_added,FHRSID,BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,LocalAuthorityName,RatingValue,RatingDate,SchemeType,NewRatingPending,Latitude,Longitude,AddressSingleLine
2025-11-08,1826906,Uno Thames Hotel,Hotel/bed & breakfast/guest house,Thames Hotel,Ray Mead Road,Maidenhead,,SL6 8NR,Windsor and Maidenhead,AwaitingInspection,,FHRS,False,,,"Thames Hotel, Ray Mead Road, Maidenhead, SL6 8NR"
2025-11-08,733602,The Birch Hotel,Hotel/bed & breakfast/guest house,Birch Hotel,Manchester Road,Heywood,Lancashire,OL10 2QD,Rochdale,AwaitingInspection,,FHRS,True,53.572214,-2.221128,"Birch Hotel, Manchester Road, Heywood, Lancashire, OL10 2QD"
2025-11-08,1888713,Stronsay Hotel,Hotel/bed & breakfast/guest house,Stronsay Hotel,Lower Whitehall Road,Stronsay,,KW17 2AR,Orkney Islands,Awaiting Inspection,,FHIS,False,59.1407617,-2.5962202,"Stronsay Hotel, Lower Whitehall Road, Stronsay, KW17 2AR"
2025-11-11,1889387,Alltyfyrddin Farm Guest House,Hotel/bed & breakfast/guest house,Guest House Alltyfyrddin,,Abergwili,Carmarthen,SA32 7ER,Sir Gaerfyrddin,5,2023-08-03,FHRS,False,,,"Guest House Alltyfyrddin, Abergwili, Carmarthen, SA32 7ER"
2025-11-11,1889387,Alltyfyrddin Farm Guest House,Hotel/bed & breakfast/guest house,Guest House Alltyfyrddin,,Abergwili,Carmarthen,SA32 7ER,Carmarthenshire,5,2023-08-03,FHRS,False,,,"Guest House Alltyfyrddin, Abergwili, Carmarthen, SA32 7ER"
2025-11-11,1889136,The Besom Inn,Hotel/bed & breakfast/guest house,77 High Street,Coldstream,,Scottish Borders,TD12 4AE,Scottish Borders,Awaiting Inspection,2025-10-20,FHIS,False,55.6520961,-2.2508992,"77 High Street, Coldstream, Scottish Borders, TD12 4AE"
2025-11-12,1889583,Whitworth Hall,Hotel/bed & breakfast/guest house,WHITWORTH PARISH CHURCH,WHITWORTH,SPENNYMOOR,,DL16 7QX,Durham,AwaitingInspection,,FHRS,False,,,"WHITWORTH PARISH CHURCH, WHITWORTH, SPENNYMOOR, DL16 7QX"
2025-11-13,1890098,Park Hotel Diss,Hotel/bed & breakfast/guest house,Park Hotel,29 Denmark Street,Diss,Norfolk,IP22 4LE,South Norfolk,AwaitingInspection,,FHRS,False,52.375927,1.10549,"Park Hotel, 29 Denmark Street, Diss, Norfolk, IP22 4LE"
2025-11-14,1890257,The Moorhen Horning,Hotel/bed & breakfast/guest house,The Moorhen,45 Lower Street,Horning,Norfolk,NR12 8AA,North Norfolk,AwaitingInspection,,FHRS,False,52.704799,1.463097,"The Moorhen, 45 Lower Street, Horning, Norfolk, NR12 8AA"
2025-11-14,1890338,Black A Moor Ripon Ltd,Hotel/bed & breakfast/guest house,Black A Moor Inn Boroughbridge Road,,,Bridge Hewick,HG4 5AA,North Yorkshire,AwaitingInspection,,FHRS,False,54.1278382,-1.4867057,"Black A Moor Inn Boroughbridge Road, Bridge Hewick, HG4 5AA"
2025-11-14,1890589,Malacuna liverpool,Hotel/bed & breakfast/guest house,56 - 60 Mount Pleasant,,Liverpool,,L3 5SD,Liverpool,AwaitingInspection,,FHRS,False,53.4038609,-2.9746833,"56 - 60 Mount Pleasant, Liverpool, L3 5SD"
2025-11-14,1890479,Bells Hotel,Hotel/bed & breakfast/guest house,Lords Hill,Coleford,Gloucestershire,,GL16 8BE,Forest of Dean,AwaitingInspection,,FHRS,False,51.79293657,-2.61223269,"Lords Hill, Coleford, Gloucestershire, GL16 8BE"
2025-11-15,1890801,Travelodge London Stratford Centre,Hotel/bed & breakfast/guest house,1 - 11 Broadway,Stratford,London,,E15 4BQ,Newham,AwaitingInspection,,FHRS,False,51.5398423,0.0009971,"1 - 11 Broadway, Stratford, London, E15 4BQ"
2025-11-15,1891185,Queens Head/Ciros,Hotel/bed & breakfast/guest house,Queens Head Hotel,79 Market Street,Ashby De La Zouch,Leicestershire,LE65 1AH,North West Leicestershire,AwaitingInspection,,FHRS,False,52.7478854,-1.4695528,"Queens Head Hotel, 79 Market Street, Ashby De La Zouch, Leicestershire, LE65 1AH"
