date_added,FHRSID,BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,LocalAuthorityName,RatingValue,RatingDate,SchemeType,NewRatingPending,Latitude,Longitude,AddressSingleLine
2026-08-01,1974222,River Arts Club,Hotel/bed & breakfast/guest house,Oldfield,Guards Club Road,Maidenhead,,SL6 8DN,Windsor and Maidenhead,AwaitingInspection,,FHRS,False,51.522984,-0.703785,"Oldfield, Guards Club Road, Maidenhead, SL6 8DN"
2026-08-01,1974140,An Airigh Bed and Breakfast,Hotel/bed & breakfast/guest house,An Aiseirigh Cabrich,,Kirkhill,Inverness,IV5 7PH,Highland,Awaiting Inspection,,FHIS,False,,,"An Aiseirigh Cabrich, Kirkhill, Inverness, IV5 7PH"
2026-08-01,1974135,Craik Na Dav Bed and Breakfast,Hotel/bed & breakfast/guest house,Craik-Na-Dav,,Invermoriston,Inverness,IV63 7YA,Highland,Awaiting Inspection,,FHIS,False,,,"Craik-Na-Dav, Invermoriston, Inverness, IV63 7YA"
2026-08-01,1974162,The Roy Bridge Hotel,Hotel/bed & breakfast/guest house,Roybridge Hotel,,Roy Bridge,Highland,PH31 4AN,Highland,Awaiting Inspection,,FHIS,False,,,"Roybridge Hotel, Roy Bridge, Highland, PH31 4AN"
2026-08-04,1974552,Premier Inn Cheltenham North West,Hotel/bed & breakfast/guest house,Beefeater Premier Inn,Tewkesbury Road,Cheltenham,Gloucestershire,GL51 9SL,Cheltenham,AwaitingInspection,,FHRS,False,51.9162251,-2.1056309,"Beefeater Premier Inn, Tewkesbury Road, Cheltenham, Gloucestershire, GL51 9SL"
2026-08-04,1974629,Benview Bakes,Hotel/bed & breakfast/guest house,,,,,,Stirling,Awaiting Inspection,2026-07-27,FHIS,False,,,
2026-08-04,1974514,Reefah’s flavour,Hotel/bed & breakfast/guest house,Appleton house Alexandra Rd,Reading,,,RG1 5PE,Reading,AwaitingInspection,,FHRS,False,51.4519047,-0.9533317,"Appleton house Alexandra Rd, Reading, RG1 5PE"
2026-08-04,1974593,Southville Guest House,Hotel/bed & breakfast/guest house,Southville Guest House,58 Allington Road,Southville,Bristol,BS3 1PT,Bristol,AwaitingInspection,,FHRS,False,51.4458185,-2.6051467,"Southville Guest House, 58 Allington Road, Southville, Bristol, BS3 1PT"
2026-08-04,1974588,Southville Guest House,Hotel/bed & breakfast/guest house,Southville Guest House,56-58 Allington Road,Southville,Bristol,BS3 1PT,Bristol,AwaitingInspection,,FHRS,False,51.4458286,-2.6051054,"Southville Guest House, 56-58 Allington Road, Southville, Bristol, BS3 1PT"
2026-08-05,194613,The Lion Hotel,Hotel/bed & breakfast/guest house,Berriew,Welshpool,Powys,,SY21 8PQ,Powys,AwaitingInspection,,FHRS,False,52.5993576049805,-3.20116996765137,"Berriew, Welshpool, Powys, SY21 8PQ"
2026-08-05,194613,The Lion Hotel,Hotel/bed & breakfast/guest house,Berriew,Welshpool,Powys,,SY21 8PQ,Powys,AwaitingInspection,,FHRS,False,52.5993576049805,-3.20116996765137,"Berriew, Welshpool, Powys, SY21 8PQ"
2026-08-05,1974904,Hawke Barn Venue,Hotel/bed & breakfast/guest house,Hawke Barn,Thorne Farm,Stoodleigh,Tiverton,EX16 9QG,Mid Devon,AwaitingInspection,,FHRS,False,,,"Hawke Barn, Thorne Farm, Stoodleigh, Tiverton, EX16 9QG"
2026-08-07,1975969,The Stagecoach Inn,Hotel/bed & breakfast/guest house,Cairndow Argyll And Bute PA26 8BN,,,,PA26 8BN,Argyll and Bute,Awaiting Inspection,2026-08-03,FHIS,False,,,"Cairndow Argyll And Bute PA26 8BN, PA26 8BN"
2026-08-07,1975972,Village Inn,Hotel/bed & breakfast/guest house,The Village Inn Arrochar Argyll And Bute G83 7AX,,,,G83 7AX,Argyll and Bute,Awaiting Inspection,2026-08-06,FHIS,False,,,"The Village Inn Arrochar Argyll And Bute G83 7AX, G83 7AX"
2026-08-07,1383210,The Luton hotel,Hotel/bed & breakfast/guest house,,244-248 Dunstable Road,,Luton,LU4 8JL,Luton,Exempt,,FHRS,False,,,"244-248 Dunstable Road, Luton, LU4 8JL"
2026-08-07,1975997,Katie Chichester,Hotel/bed & breakfast/guest house,,,,,,East Devon,AwaitingInspection,,FHRS,False,,,
2026-08-08,1976590,Premier Inn,Hotel/bed & breakfast/guest house,Premier Inn,Layerthorpe,York,,YO31 7YW,York,5,2026-07-28,FHRS,False,,,"Premier Inn, Layerthorpe, York, YO31 7YW"
2026-08-08,1976191,The Landmark Hotel,Hotel/bed & breakfast/guest house,,Kingsway West,Dundee,,DD2 5JT,Dundee City,Awaiting Inspection,2026-08-07,FHIS,False,,,"Kingsway West, Dundee, DD2 5JT"
2026-08-08,665790,H F Holidays,Hotel/bed & breakfast/guest house,Chy Morvah,Bishops Road,St Ives,Cornwall,TR26 2DB,Cornwall,4,2026-06-10,FHRS,False,,,"Chy Morvah, Bishops Road, St Ives, Cornwall, TR26 2DB"
2026-08-08,401996,Membly Hall Hotel,Hotel/bed & breakfast/guest house,12 Cliff Road,Falmouth,Cornwall,,TR11 4NT,Cornwall,5,2026-04-16,FHRS,False,,,"12 Cliff Road, Falmouth, Cornwall, TR11 4NT"
2026-08-09,1800195,Princes Marine Hotel,Hotel/bed & breakfast/guest house,153 Kingsway,Hove,,,BN3 4GR,Brighton and Hove,5,2026-07-28,FHRS,False,,,"153 Kingsway, Hove, BN3 4GR"
