date_added,FHRSID,BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,LocalAuthorityName,RatingValue,RatingDate,SchemeType,NewRatingPending,Latitude,Longitude,AddressSingleLine
2026-03-01,1888353,Kothu,Restaurant/Cafe/Canteen,Restaurant,48 - 50 South End,Croydon,,CR0 1DP,Croydon,0,2026-02-07,FHRS,False,51.3656394,-0.099213,"Restaurant, 48 - 50 South End, Croydon, CR0 1DP"
2026-03-03,1920245,Chaiiwala – Victoria Centre,Restaurant/Cafe/Canteen,Unit R5a Victoria Centre,Victoria Centre Lower Mall East To West,,Nottingham,NG1 3QF,Nottingham City,AwaitingInspection,,FHRS,False,52.9572062,-1.147707,"Unit R5a Victoria Centre, Victoria Centre Lower Mall East To West, Nottingham, NG1 3QF"
2026-03-03,1920250,Mazzeh The Taste,Restaurant/Cafe/Canteen,Portland Building University Of Nottingham,University Boulevard,,Nottingham,,Nottingham City,AwaitingInspection,,FHRS,False,52.9381145,-1.194288,"Portland Building University Of Nottingham, University Boulevard, Nottingham"
2026-03-03,1920256,Tif Coffee & Crepes,Restaurant/Cafe/Canteen,,332 Radford Road,,Nottingham,NG7 5GP,Nottingham City,AwaitingInspection,,FHRS,False,52.96982,-1.173763,"332 Radford Road, Nottingham, NG7 5GP"
2026-03-03,1920120,Mandi and Biryani House,Restaurant/Cafe/Canteen,124 Granby Street,Leicester,,,LE1 1DL,Leicester City,AwaitingInspection,,FHRS,False,52.6324948,-1.1269971,"124 Granby Street, Leicester, LE1 1DL"
2026-03-03,1920113,Starbucks,Restaurant/Cafe/Canteen,42-44 Gallowtree Gate,Leicester,,,LE1 1DA,Leicester City,AwaitingInspection,,FHRS,False,52.6349056,-1.1317446,"42-44 Gallowtree Gate, Leicester, LE1 1DA"
2026-03-03,1920036,Plough And Harrow,Restaurant/Cafe/Canteen,86 High Street,Bridge,Kent,,CT4 5LA,Canterbury City,AwaitingInspection,,FHRS,False,51.2452717,1.126007,"86 High Street, Bridge, Kent, CT4 5LA"
2026-03-03,1920040,Sunsetfish Bar,Restaurant/Cafe/Canteen,123 Central Parade,Herne Bay,Kent,,CT6 8SS,Canterbury City,AwaitingInspection,,FHRS,False,51.371696472168,1.11786603927612,"123 Central Parade, Herne Bay, Kent, CT6 8SS"
2026-03-03,1777611,Elior @ Boohoo Distribution Centre Burnley,Restaurant/Cafe/Canteen,Boohoo.com,Widow Hill Road,Burnley,Lancashire,BB10 2BQ,Burnley,5,2025-01-08,FHRS,False,,,"Boohoo.com, Widow Hill Road, Burnley, Lancashire, BB10 2BQ"
2026-03-03,1920127,Shinwari Mehfil,Restaurant/Cafe/Canteen,34 Plumbe Street,Burnley,Lancashire,,BB11 3AB,Burnley,AwaitingInspection,,FHRS,False,53.7877999,-2.2357554,"34 Plumbe Street, Burnley, Lancashire, BB11 3AB"
