date_added,FHRSID,BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,LocalAuthorityName,RatingValue,RatingDate,SchemeType,NewRatingPending,Latitude,Longitude,AddressSingleLine
2026-05-01,1940197,Shot Circuit,Pub/bar/nightclub,14 Market Row,London,,,SW9 8LD,Lambeth,AwaitingInspection,,FHRS,False,51.4620257,-0.1133319,"14 Market Row, London, SW9 8LD"
2026-05-01,260787,Horse and Groom Inn,Pub/bar/nightclub,HORSE AND GROOM INN THE STREET,,CHARLTON,,SN16 9DL,Wiltshire,AwaitingInspection,,FHRS,False,,,"HORSE AND GROOM INN THE STREET, CHARLTON, SN16 9DL"
2026-05-01,520924,M4 Karting Ltd.,Pub/bar/nightclub,HANGAR 88,,HULLAVINGTON,,SN14 6GU,Wiltshire,AwaitingInspection,,FHRS,False,51.5374709,-2.1329034,"HANGAR 88, HULLAVINGTON, SN14 6GU"
2026-05-01,1940017,The Earle Arms,Pub/bar/nightclub,Earle Arms Inn,The Street,Heydon,Norfolk,NR11 6AD,Broadland,AwaitingInspection,,FHRS,False,52.8025215,1.1336162,"Earle Arms Inn, The Street, Heydon, Norfolk, NR11 6AD"
2026-05-01,1940149,Severn View Hotel & Bar,Pub/bar/nightclub,54 Newport Street,Worcester,,,WR1 3NS,Worcester City,AwaitingInspection,,FHRS,False,52.192237,-2.226978,"54 Newport Street, Worcester, WR1 3NS"
2026-05-01,572533,Marquis of Granby,Pub/bar/nightclub,Portsmouth Road,Esher,Surrey,,KT10 9AL,Elmbridge,4,2024-06-13,FHRS,False,51.378385,-0.35053,"Portsmouth Road, Esher, Surrey, KT10 9AL"
2026-05-01,1940042,The White Lion,Pub/bar/nightclub,Main Street,Great Longstone,Derbyshire,,DE45 1TA,Derbyshire Dales,3,2025-01-16,FHRS,False,53.242492,-1.702143,"Main Street, Great Longstone, Derbyshire, DE45 1TA"
2026-05-01,1940037,Vino Felice,Pub/bar/nightclub,6-6A Market Place,Wirksworth,Derbyshire,,DE4 4ET,Derbyshire Dales,AwaitingInspection,,FHRS,False,53.0823689,-1.5738573,"6-6A Market Place, Wirksworth, Derbyshire, DE4 4ET"
2026-05-01,1940221,The Derby Arms Rainford,Pub/bar/nightclub,,47 Church Road,Rainford,,WA11 8EZ,St Helens,AwaitingInspection,,FHRS,False,53.4989016,-2.7848247,"47 Church Road, Rainford, WA11 8EZ"
2026-05-01,1940157,The Masons Arms,Pub/bar/nightclub,Broad Marston Road,Broad Marston,Pebworth,Worcestershire,CV37 8XN,Wychavon,AwaitingInspection,,FHRS,False,,,"Broad Marston Road, Broad Marston, Pebworth, Worcestershire, CV37 8XN"
2026-05-01,1940069,The Priory,Pub/bar/nightclub,26 Front Street,Tynemouth,Tyne And Wear,,NE30 4DX,North Tyneside,5,2026-04-22,FHRS,False,55.017704,-1.424512,"26 Front Street, Tynemouth, Tyne And Wear, NE30 4DX"
2026-05-01,1940068,The Wheatsheaf Inn,Pub/bar/nightclub,Wheatsheaf Inn,New York Road,North Shields,Tyne And Wear,NE29 8EH,North Tyneside,5,2026-04-22,FHRS,False,55.0257359,-1.4952377,"Wheatsheaf Inn, New York Road, North Shields, Tyne And Wear, NE29 8EH"
